scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
network_hpc_local,prism_cc_time,1,1.000000,0.000000,704.858400,587.382000,587.382000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,2539.281000,0.000000,0.000000
network_hpc_local,prism_cc_cost,1,1.000000,0.000000,704.858400,587.382000,587.382000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,2539.281000,0.000000,0.000000
network_hpc_local,heft_colocation,1,1.000000,0.000000,704.858400,587.382000,587.382000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,2.982000,0.000000,0.000000
network_hpc_multisite,prism_cc_time,1,1.000000,0.000000,704.858400,587.382000,587.382000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,2398.716000,0.000000,0.000000
network_hpc_multisite,prism_cc_cost,1,1.000000,0.000000,704.858400,587.382000,587.382000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,2398.716000,0.000000,0.000000
network_hpc_multisite,heft_colocation,1,1.000000,0.000000,704.858400,587.382000,587.382000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,2.404000,0.000000,0.000000
network_cloud_multiregion,prism_cc_time,1,1.000000,0.898790,484.305600,403.588000,403.588000,0.000000,0.000000,0.748992,0.748992,0.000000,0.000000,0.008000,2403.521000,0.000000,0.000000
network_cloud_multiregion,prism_cc_cost,1,1.000000,0.898790,484.305600,403.588000,403.588000,0.000000,0.000000,0.328553,0.328553,0.000000,0.000000,0.008000,2403.521000,0.000000,56.133977
network_cloud_multiregion,heft_colocation,1,1.000000,0.898790,484.305600,403.588000,403.588000,0.000000,0.000000,0.748992,0.748992,0.000000,0.000000,0.008000,3.229000,0.000000,0.000000
network_hpc_cloud,prism_cc_time,1,1.000000,0.713321,366.829200,305.691000,305.691000,0.000000,0.000000,0.594434,0.594434,0.000000,0.000000,0.011000,2518.405000,0.000000,0.000000
network_hpc_cloud,prism_cc_cost,1,1.000000,0.713321,366.829200,350.019000,350.019000,0.000000,0.000000,0.382408,0.382408,0.000000,0.000000,0.011000,2518.405000,-14.500918,35.668552
network_hpc_cloud,heft_colocation,1,1.000000,0.713321,366.829200,305.691000,305.691000,0.000000,0.000000,0.594434,0.594434,0.000000,0.000000,0.011000,3.149000,0.000000,0.000000
network_edge_cloud,prism_cc_time,1,1.000000,1.028525,366.829200,305.691000,305.691000,0.000000,0.000000,0.857104,0.857104,0.000000,0.000000,0.012000,2179.886000,0.000000,0.000000
network_edge_cloud,prism_cc_cost,1,1.000000,1.028525,366.829200,329.545000,329.545000,0.000000,0.000000,0.382070,0.382070,0.000000,0.000000,0.011000,2179.886000,-7.803305,55.423146
network_edge_cloud,heft_colocation,1,1.000000,1.028525,366.829200,305.691000,305.691000,0.000000,0.000000,0.857104,0.857104,0.000000,0.000000,0.012000,3.479000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_time,1,1.000000,0.547910,366.829200,305.691000,305.691000,0.000000,0.000000,0.456592,0.456592,0.000000,0.000000,0.011000,5849.624000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_cost,1,1.000000,0.547910,366.829200,360.855000,360.855000,0.000000,0.000000,0.382408,0.382408,0.000000,0.000000,0.013000,5849.624000,-18.045674,16.247328
network_fog_hpc_cloud,heft_colocation,1,1.000000,0.547910,366.829200,305.691000,305.691000,0.000000,0.000000,0.456592,0.456592,0.000000,0.000000,0.011000,5.202000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_time,1,1.000000,0.000000,2385.674400,1988.062000,1988.062000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012000,2137.973000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_cost,1,1.000000,0.000000,2385.674400,1988.062000,1988.062000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012000,2137.973000,0.000000,0.000000
network_wfcommons_overlay,heft_colocation,1,1.000000,0.000000,2385.674400,1988.062000,1988.062000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012000,2.589000,0.000000,0.000000
