scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95
real_network_stress_cloud_hetero,heft_classic,1,20.022,20.022,0,0.0,0.049182,0.049182,0,0.0
real_network_stress_cloud_hetero,prism_cc_cost,1,20.022,20.022,0,0.0,0.04368,0.04368,0,0.0
real_network_stress_cloud_hetero,prism_cc_time,1,20.022,20.022,0,0.0,0.049182,0.049182,0,0.0
real_network_stress_cloud_homo,heft_classic,1,20.022,20.022,0,0.0,0.04368,0.04368,0,0.0
real_network_stress_cloud_homo,prism_cc_cost,1,20.022,20.022,0,0.0,0.04368,0.04368,0,0.0
real_network_stress_cloud_homo,prism_cc_time,1,20.022,20.022,0,0.0,0.04368,0.04368,0,0.0
real_network_stress_cluster_hetero,heft_classic,1,44.429,44.429,0,0.0,0.0,0.0,0,0.0
real_network_stress_cluster_hetero,prism_cc_cost,1,44.429,44.429,0,0.0,0.0,0.0,0,0.0
real_network_stress_cluster_hetero,prism_cc_time,1,44.429,44.429,0,0.0,0.0,0.0,0,0.0
real_network_stress_cluster_homo,heft_classic,1,44.429,44.429,0,0.0,0.0,0.0,0,0.0
real_network_stress_cluster_homo,prism_cc_cost,1,44.429,44.429,0,0.0,0.0,0.0,0,0.0
real_network_stress_cluster_homo,prism_cc_time,1,44.429,44.429,0,0.0,0.0,0.0,0,0.0
real_network_stress_hybrid_hetero,heft_classic,1,44.429,44.429,0,0.0,0.0,0.0,0,0.0
real_network_stress_hybrid_hetero,prism_cc_cost,1,44.429,44.429,0,0.0,0.0,0.0,0,0.0
real_network_stress_hybrid_hetero,prism_cc_time,1,44.429,44.429,0,0.0,0.0,0.0,0,0.0
real_network_stress_hybrid_homo,heft_classic,1,44.429,44.429,0,0.0,0.0,0.0,0,0.0
real_network_stress_hybrid_homo,prism_cc_cost,1,44.429,44.429,0,0.0,0.0,0.0,0,0.0
real_network_stress_hybrid_homo,prism_cc_time,1,44.429,44.429,0,0.0,0.0,0.0,0,0.0
real_network_stress_hybrid_raspberry_500mbps,heft_classic,1,26.25,26.25,0,0.0,0.00474,0.00474,0,0.0
real_network_stress_hybrid_raspberry_500mbps,prism_cc_cost,1,26.25,26.25,0,0.0,0.00474,0.00474,0,0.0
real_network_stress_hybrid_raspberry_500mbps,prism_cc_time,1,26.25,26.25,0,0.0,0.00474,0.00474,0,0.0
