scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95
network_cloud_multiregion,heft_classic,1,241.838,241.838,0,0.0,30.313588,30.313588,0,0.0
network_cloud_multiregion,prism_cc_cost,1,256.427,256.427,0,0.0,11.849344,11.849344,0,0.0
network_cloud_multiregion,prism_cc_time,1,241.838,241.838,0,0.0,30.313588,30.313588,0,0.0
network_edge_cloud,heft_classic,1,192.209,192.209,0,0.0,32.105958,32.105958,0,0.0
network_edge_cloud,prism_cc_cost,1,211.568,211.568,0,0.0,1.397472,1.397472,0,0.0
network_edge_cloud,prism_cc_time,1,192.209,192.209,0,0.0,32.105958,32.105958,0,0.0
network_fog_hpc_cloud,heft_classic,1,155.389,155.389,0,0.0,21.27821,21.27821,0,0.0
network_fog_hpc_cloud,prism_cc_cost,1,172.653,172.653,0,0.0,12.520138,12.520138,0,0.0
network_fog_hpc_cloud,prism_cc_time,1,155.389,155.389,0,0.0,21.27821,21.27821,0,0.0
network_hpc_cloud,heft_classic,1,156.553,156.553,0,0.0,21.355051,21.355051,0,0.0
network_hpc_cloud,prism_cc_cost,1,156.553,156.553,0,0.0,21.355051,21.355051,0,0.0
network_hpc_cloud,prism_cc_time,1,156.553,156.553,0,0.0,21.355051,21.355051,0,0.0
network_hpc_local,heft_classic,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_cost,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_time,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,heft_classic,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_cost,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_time,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,heft_classic,1,1034.709,1034.709,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,prism_cc_cost,1,1034.709,1034.709,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,prism_cc_time,1,1034.709,1034.709,0,0.0,0.0,0.0,0,0.0
