algorithm,scenario_id,interference_seed,interference_activity_ids,interference_rate,makespan,budget_used,budget_limit,deadline_limit,budget_violation,deadline_violation,feasible,interference_time,interference_pairs,algorithm_milliseconds,machine_distribution,machine_utilization,recommendations_json
heft_colocation,network_cloud_multiregion,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.000000,159.667000,0.097575,0.117090,191.600400,0.000000,0.000000,true,0.005000,36,1.287000,"{""cloud-a-02"":58}","{""cloud-a-01"":0,""cloud-a-02"":0.20513,""cloud-b-01"":0,""cloud-b-02"":0}",[]
prism_cc_cost,network_cloud_multiregion,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.000000,189.200000,0.084088,0.117090,191.600400,0.000000,0.000000,true,0.000000,36,234.473000,"{""cloud-b-02"":58}","{""cloud-a-01"":0,""cloud-a-02"":0,""cloud-b-01"":0,""cloud-b-02"":0.207733}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.084088,""budget_violation"":0,""makespan"":189.2,""deadline_violation"":0,""machine_signature"":""48e7e8f99757bdbd"",""weighted_score"":0.084088,""diversity_score"":0},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.097575,""budget_violation"":0,""makespan"":159.667,""deadline_violation"":0,""machine_signature"":""426c66e6fb45b11d"",""weighted_score"":0.097575,""diversity_score"":0}]"
prism_cc_time,network_cloud_multiregion,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.000000,159.667000,0.097575,0.117090,191.600400,0.000000,0.000000,true,0.005000,36,234.473000,"{""cloud-a-02"":58}","{""cloud-a-01"":0,""cloud-a-02"":0.20513,""cloud-b-01"":0,""cloud-b-02"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.097575,""budget_violation"":0,""makespan"":159.667,""deadline_violation"":0,""machine_signature"":""426c66e6fb45b11d"",""weighted_score"":0.843906,""diversity_score"":0},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.084088,""budget_violation"":0,""makespan"":189.2,""deadline_violation"":0,""machine_signature"":""48e7e8f99757bdbd"",""weighted_score"":1,""diversity_score"":0}]"
heft_colocation,network_edge_cloud,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.000000,122.753000,0.153438,0.184126,147.303600,0.000000,0.000000,true,0.016000,36,1.374000,"{""cloud-edge-02"":58}","{""cloud-edge-01"":0,""cloud-edge-02"":0.100058,""edge-data-01"":0,""edge-data-02"":0}",[]
prism_cc_cost,network_edge_cloud,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.000000,122.753000,0.153438,0.184126,147.303600,0.000000,0.000000,true,0.016000,36,201.856000,"{""cloud-edge-02"":58}","{""cloud-edge-01"":0,""cloud-edge-02"":0.100058,""edge-data-01"":0,""edge-data-02"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.153438,""budget_violation"":0,""makespan"":122.753,""deadline_violation"":0,""machine_signature"":""666713a515445027"",""weighted_score"":0.153438,""diversity_score"":0}]"
prism_cc_time,network_edge_cloud,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.000000,122.753000,0.153438,0.184126,147.303600,0.000000,0.000000,true,0.016000,36,201.856000,"{""cloud-edge-02"":58}","{""cloud-edge-01"":0,""cloud-edge-02"":0.100058,""edge-data-01"":0,""edge-data-02"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.153438,""budget_violation"":0,""makespan"":122.753,""deadline_violation"":0,""machine_signature"":""666713a515445027"",""weighted_score"":1,""diversity_score"":0}]"
heft_colocation,network_fog_hpc_cloud,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.000000,187.903000,3.517412,4.220894,225.483600,0.000000,0.000000,true,0.015000,15,2.857000,"{""cloud-fog-02"":52,""hpc-fog-02"":6}","{""cloud-fog-01"":0,""cloud-fog-02"":0.055606,""edge-fog-01"":0,""edge-fog-02"":0,""edge-fog-03"":0,""edge-fog-04"":0,""edge-fog-05"":0,""edge-fog-06"":0,""edge-fog-07"":0,""edge-fog-08"":0,""edge-fog-09"":0,""edge-fog-10"":0,""hpc-fog-01"":0,""hpc-fog-02"":0.017351}",[]
prism_cc_cost,network_fog_hpc_cloud,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.000000,147.667000,0.000000,4.220894,225.483600,0.000000,0.000000,true,0.005000,36,471.243000,"{""hpc-fog-02"":58}","{""cloud-fog-01"":0,""cloud-fog-02"":0,""edge-fog-01"":0,""edge-fog-02"":0,""edge-fog-03"":0,""edge-fog-04"":0,""edge-fog-05"":0,""edge-fog-06"":0,""edge-fog-07"":0,""edge-fog-08"":0,""edge-fog-09"":0,""edge-fog-10"":0,""hpc-fog-01"":0,""hpc-fog-02"":0.147867}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":147.667,""deadline_violation"":0,""machine_signature"":""cab7fc8d5a0a118f"",""weighted_score"":0,""diversity_score"":0},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":3.517412,""budget_violation"":0,""makespan"":187.903,""deadline_violation"":0,""machine_signature"":""3667f035c04d912b"",""weighted_score"":1,""diversity_score"":1.103448}]"
prism_cc_time,network_fog_hpc_cloud,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.000000,147.667000,0.000000,4.220894,225.483600,0.000000,0.000000,true,0.005000,36,471.243000,"{""hpc-fog-02"":58}","{""cloud-fog-01"":0,""cloud-fog-02"":0,""edge-fog-01"":0,""edge-fog-02"":0,""edge-fog-03"":0,""edge-fog-04"":0,""edge-fog-05"":0,""edge-fog-06"":0,""edge-fog-07"":0,""edge-fog-08"":0,""edge-fog-09"":0,""edge-fog-10"":0,""hpc-fog-01"":0,""hpc-fog-02"":0.147867}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":147.667,""deadline_violation"":0,""machine_signature"":""cab7fc8d5a0a118f"",""weighted_score"":0.785868,""diversity_score"":0},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":3.517412,""budget_violation"":0,""makespan"":187.903,""deadline_violation"":0,""machine_signature"":""3667f035c04d912b"",""weighted_score"":1,""diversity_score"":1.103448}]"
heft_colocation,network_hpc_cloud,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.000000,187.903000,3.517412,4.220894,225.483600,0.000000,0.000000,true,0.015000,15,1.432000,"{""cloud-hybrid-02"":52,""hpc-hybrid-02"":6}","{""cloud-hybrid-01"":0,""cloud-hybrid-02"":0.055606,""hpc-hybrid-01"":0,""hpc-hybrid-02"":0.017351}",[]
