scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
network_hpc_local,prism_cc_time,1,1.000000,0.000000,47.250000,39.375000,39.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.546000,0.000000,0.000000
network_hpc_local,prism_cc_cost,1,1.000000,0.000000,47.250000,39.375000,39.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.546000,0.000000,0.000000
network_hpc_local,heft_colocation,1,1.000000,0.000000,47.250000,39.375000,39.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.195000,0.000000,0.000000
network_hpc_multisite,prism_cc_time,1,1.000000,0.000000,47.250000,39.375000,39.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.879000,0.000000,0.000000
network_hpc_multisite,prism_cc_cost,1,1.000000,0.000000,47.250000,39.375000,39.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.879000,0.000000,0.000000
network_hpc_multisite,heft_colocation,1,1.000000,0.000000,47.250000,39.375000,39.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.157000,0.000000,0.000000
network_cloud_multiregion,prism_cc_time,1,1.000000,0.028050,45.900000,38.250000,38.250000,0.000000,0.000000,0.023375,0.023375,0.000000,0.000000,0.001000,29.170000,0.000000,0.000000
network_cloud_multiregion,prism_cc_cost,1,1.000000,0.028050,45.900000,38.250000,38.250000,0.000000,0.000000,0.023375,0.023375,0.000000,0.000000,0.001000,29.170000,0.000000,0.000000
network_cloud_multiregion,heft_colocation,1,1.000000,0.028050,45.900000,38.250000,38.250000,0.000000,0.000000,0.023375,0.023375,0.000000,0.000000,0.001000,0.148000,0.000000,0.000000
network_hpc_cloud,prism_cc_time,1,1.000000,0.000000,31.500000,26.250000,26.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,22.550000,0.000000,0.000000
network_hpc_cloud,prism_cc_cost,1,1.000000,0.000000,31.500000,26.250000,26.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,22.550000,0.000000,0.000000
network_hpc_cloud,heft_colocation,1,1.000000,0.000000,31.500000,26.250000,26.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.161000,0.000000,0.000000
network_edge_cloud,prism_cc_time,1,1.000000,0.047531,38.025600,31.688000,31.688000,0.000000,0.000000,0.039609,0.039609,0.000000,0.000000,0.001000,30.240000,0.000000,0.000000
network_edge_cloud,prism_cc_cost,1,1.000000,0.047531,38.025600,31.688000,31.688000,0.000000,0.000000,0.039609,0.039609,0.000000,0.000000,0.001000,30.240000,0.000000,0.000000
network_edge_cloud,heft_colocation,1,1.000000,0.047531,38.025600,31.688000,31.688000,0.000000,0.000000,0.039609,0.039609,0.000000,0.000000,0.001000,0.154000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_time,1,1.000000,0.000000,31.500000,26.250000,26.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,48.562000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_cost,1,1.000000,0.000000,31.500000,26.250000,26.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,48.562000,0.000000,0.000000
network_fog_hpc_cloud,heft_colocation,1,1.000000,0.000000,31.500000,26.250000,26.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.356000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_time,1,1.000000,0.000000,159.922800,133.269000,133.269000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,12.491000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_cost,1,1.000000,0.000000,159.922800,133.269000,133.269000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,12.491000,0.000000,0.000000
network_wfcommons_overlay,heft_colocation,1,1.000000,0.000000,159.922800,133.269000,133.269000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.210000,0.000000,0.000000
