scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95,interference_seed,utilization_mean,utilization_imbalance,machines_used,interference_time_mean,interference_pairs_mean,interference_per_task,makespan_cv_percent,makespan_gain_percent,budget_gain_percent
network_cloud_multiregion,heft_classic,1,118.38,118.38,0,0.0,0.332431,0.332431,0,0.0,1.0,0.32244475000000006,0.15143799037291636,4.0,0.213,7719.0,0.00012566371681415928,0.0,,
network_cloud_multiregion,prism_cc_cost,1,118.38,118.38,0,0.0,0.332431,0.332431,0,0.0,1.0,0.32244475000000006,0.15143799037291636,4.0,0.213,7719.0,0.00012566371681415928,0.0,0.0,0.0
network_cloud_multiregion,prism_cc_time,1,114.717,114.717,0,0.0,0.302932,0.302932,0,0.0,1.0,0.26048325,0.055216678636871123,4.0,0.212,7860.0,0.00012507374631268435,0.0,3.0942726811961454,8.873721163188751
network_edge_cloud,heft_classic,1,92.994,92.994,0,0.0,0.329926,0.329926,0,0.0,1.0,0.4480055,0.1286801757624305,4.0,0.213,12803.0,0.00012566371681415928,0.0,,
network_edge_cloud,prism_cc_cost,1,92.994,92.994,0,0.0,0.329926,0.329926,0,0.0,1.0,0.4480055,0.1286801757624305,4.0,0.213,12803.0,0.00012566371681415928,0.0,0.0,0.0
network_edge_cloud,prism_cc_time,1,92.994,92.994,0,0.0,0.329926,0.329926,0,0.0,1.0,0.4480055,0.1286801757624305,4.0,0.213,12803.0,0.00012566371681415928,0.0,0.0,0.0
network_fog_hpc_cloud,heft_classic,1,85.917,85.917,0,0.0,0.235945,0.235945,0,0.0,1.0,0.33088321428571427,0.1291967586740575,14.0,0.216,10866.0,0.00012743362831858408,0.0,,
network_fog_hpc_cloud,prism_cc_cost,1,85.917,85.917,0,0.0,0.235945,0.235945,0,0.0,1.0,0.33088321428571427,0.1291967586740575,14.0,0.216,10866.0,0.00012743362831858408,0.0,0.0,0.0
network_fog_hpc_cloud,prism_cc_time,1,85.917,85.917,0,0.0,0.235945,0.235945,0,0.0,1.0,0.33088321428571427,0.1291967586740575,14.0,0.216,10866.0,0.00012743362831858408,0.0,0.0,0.0
network_hpc_cloud,heft_classic,1,86.453,86.453,0,0.0,0.235994,0.235994,0,0.0,1.0,0.22138175,0.14151211296630228,4.0,0.222,11230.0,0.00013097345132743362,0.0,,
network_hpc_cloud,prism_cc_cost,1,86.453,86.453,0,0.0,0.235994,0.235994,0,0.0,1.0,0.22138175,0.14151211296630228,4.0,0.222,11230.0,0.00013097345132743362,0.0,0.0,0.0
network_hpc_cloud,prism_cc_time,1,86.421,86.421,0,0.0,0.239001,0.239001,0,0.0,1.0,0.22193225,0.14145808357844913,4.0,0.222,11100.0,0.00013097345132743362,0.0,0.03701433148646834,-1.2741849369051679
network_hpc_local,heft_classic,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0,1.0,0.12680124999999998,0.040914299929089584,4.0,0.216,9677.0,0.00012743362831858408,0.0,,
network_hpc_local,prism_cc_cost,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0,1.0,0.12680124999999998,0.040914299929089584,4.0,0.216,9677.0,0.00012743362831858408,0.0,0.0,0.0
network_hpc_local,prism_cc_time,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0,1.0,0.12680124999999998,0.040914299929089584,4.0,0.216,9677.0,0.00012743362831858408,0.0,0.0,0.0
network_hpc_multisite,heft_classic,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0,1.0,0.12680124999999998,0.040914299929089584,4.0,0.216,9677.0,0.00012743362831858408,0.0,,
network_hpc_multisite,prism_cc_cost,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0,1.0,0.12680124999999998,0.040914299929089584,4.0,0.216,9677.0,0.00012743362831858408,0.0,0.0,0.0
network_hpc_multisite,prism_cc_time,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0,1.0,0.12680124999999998,0.040914299929089584,4.0,0.216,9677.0,0.00012743362831858408,0.0,0.0,0.0
network_wfcommons_overlay,heft_classic,1,512.375,512.375,0,0.0,1.773099,1.773099,0,0.0,1.0,0.1712722,0.04879747011229168,5.0,0.139,10058.0,8.200589970501475e-05,0.0,,
network_wfcommons_overlay,prism_cc_cost,1,512.375,512.375,0,0.0,1.773099,1.773099,0,0.0,1.0,0.1712722,0.04879747011229168,5.0,0.139,10058.0,8.200589970501475e-05,0.0,0.0,0.0
network_wfcommons_overlay,prism_cc_time,1,512.375,512.375,0,0.0,1.773099,1.773099,0,0.0,1.0,0.1712722,0.04879747011229168,5.0,0.139,10058.0,8.200589970501475e-05,0.0,0.0,0.0
