algorithm,scenario_id,interference_seed,interference_activity_ids,interference_rate,makespan,budget_used,budget_limit,deadline_limit,budget_violation,deadline_violation,feasible,interference_time,interference_pairs,algorithm_milliseconds,machine_distribution,machine_utilization,recommendations_json
heft_colocation,cloud_hetero,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.000000,95.151000,0.509123,0.610948,76.120800,0.000000,19.030000,false,0.005000,13,2.174000,"{""h4d-highmem-192-1"":43,""h4d-standard-192-1"":15}","{""h3-standard-88-1"":0,""h3-standard-88-2"":0,""h4d-highmem-192-1"":0.010613,""h4d-standard-192-1"":0.006918}",[]
prism_cc_cost,cloud_hetero,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.000000,95.151000,0.509123,0.610948,76.120800,0.000000,19.030000,false,0.005000,13,141.861000,"{""h4d-highmem-192-1"":43,""h4d-standard-192-1"":15}","{""h3-standard-88-1"":0,""h3-standard-88-2"":0,""h4d-highmem-192-1"":0.010613,""h4d-standard-192-1"":0.006918}","[{""rank"":1,""recommended"":true,""feasible"":false,""budget_used"":0.206017,""budget_violation"":0,""makespan"":94.433,""deadline_violation"":18.312,""machine_signature"":""d35540cebc16102a"",""weighted_score"":0.206017,""diversity_score"":0},{""rank"":2,""recommended"":false,""feasible"":false,""budget_used"":0.509123,""budget_violation"":0,""makespan"":95.151,""deadline_violation"":19.03,""machine_signature"":""f9ebf6f13c0b9730"",""weighted_score"":0.509123,""diversity_score"":1.258621}]"
prism_cc_time,cloud_hetero,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.000000,94.433000,0.206017,0.610948,76.120800,0.000000,18.312000,false,0.005000,27,141.861000,"{""h4d-standard-192-1"":58}","{""h3-standard-88-1"":0,""h3-standard-88-2"":0,""h4d-highmem-192-1"":0,""h4d-standard-192-1"":0.017664}","[{""rank"":1,""recommended"":true,""feasible"":false,""budget_used"":0.206017,""budget_violation"":0,""makespan"":94.433,""deadline_violation"":18.312,""machine_signature"":""d35540cebc16102a"",""weighted_score"":0.992454,""diversity_score"":0},{""rank"":2,""recommended"":false,""feasible"":false,""budget_used"":0.509123,""budget_violation"":0,""makespan"":95.151,""deadline_violation"":19.03,""machine_signature"":""f9ebf6f13c0b9730"",""weighted_score"":1,""diversity_score"":1.258621}]"
heft_colocation,cloud_homo,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.000000,99.816000,0.888791,1.066549,79.852800,0.000000,19.963000,false,0.005000,5,3.343000,"{""h4d-standard-192-1"":17,""h4d-standard-192-2"":16,""h4d-standard-192-3"":8,""h4d-standard-192-4"":17}","{""h4d-standard-192-1"":0.003873,""h4d-standard-192-2"":0.003804,""h4d-standard-192-3"":0.00373,""h4d-standard-192-4"":0.005304}",[]
prism_cc_cost,cloud_homo,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.000000,99.816000,0.888791,1.066549,79.852800,0.000000,19.963000,false,0.005000,5,156.433000,"{""h4d-standard-192-1"":17,""h4d-standard-192-2"":16,""h4d-standard-192-3"":8,""h4d-standard-192-4"":17}","{""h4d-standard-192-1"":0.003873,""h4d-standard-192-2"":0.003804,""h4d-standard-192-3"":0.00373,""h4d-standard-192-4"":0.005304}","[{""rank"":1,""recommended"":true,""feasible"":false,""budget_used"":0.202628,""budget_violation"":0,""makespan"":92.879,""deadline_violation"":13.026,""machine_signature"":""38fa34ed971a998e"",""weighted_score"":0.202628,""diversity_score"":0},{""rank"":2,""recommended"":false,""feasible"":false,""budget_used"":0.888791,""budget_violation"":0,""makespan"":99.816,""deadline_violation"":19.963,""machine_signature"":""a6ca68dba7afe7de"",""weighted_score"":0.888791,""diversity_score"":3.706897}]"
prism_cc_time,cloud_homo,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.000000,92.879000,0.202628,1.066549,79.852800,0.000000,13.026000,false,0.005000,25,156.433000,"{""h4d-standard-192-1"":58}","{""h4d-standard-192-1"":0.017959,""h4d-standard-192-2"":0,""h4d-standard-192-3"":0,""h4d-standard-192-4"":0}","[{""rank"":1,""recommended"":true,""feasible"":false,""budget_used"":0.202628,""budget_violation"":0,""makespan"":92.879,""deadline_violation"":13.026,""machine_signature"":""38fa34ed971a998e"",""weighted_score"":0.930502,""diversity_score"":0},{""rank"":2,""recommended"":false,""feasible"":false,""budget_used"":0.888791,""budget_violation"":0,""makespan"":99.816,""deadline_violation"":19.963,""machine_signature"":""a6ca68dba7afe7de"",""weighted_score"":1,""diversity_score"":3.706897}]"
heft_colocation,cluster_hetero,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.000000,287.957000,0.000000,0.000000,230.365600,0.000000,57.591000,false,0.006000,20,1.088000,"{""bora005"":37,""bora006"":21}","{""bora005"":0.100329,""bora006"":0.070791,""diablo01"":0,""diablo02"":0}",[]
prism_cc_cost,cluster_hetero,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.000000,287.957000,0.000000,0.000000,230.365600,0.000000,57.591000,false,0.006000,20,85.100000,"{""bora005"":37,""bora006"":21}","{""bora005"":0.100329,""bora006"":0.070791,""diablo01"":0,""diablo02"":0}","[{""rank"":1,""recommended"":true,""feasible"":false,""budget_used"":0,""budget_violation"":0,""makespan"":287.957,""deadline_violation"":57.591,""machine_signature"":""bf2e4878d3b01df3"",""weighted_score"":0,""diversity_score"":1.362069}]"
prism_cc_time,cluster_hetero,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.000000,287.957000,0.000000,0.000000,230.365600,0.000000,57.591000,false,0.006000,20,85.100000,"{""bora005"":37,""bora006"":21}","{""bora005"":0.100329,""bora006"":0.070791,""diablo01"":0,""diablo02"":0}","[{""rank"":1,""recommended"":true,""feasible"":false,""budget_used"":0,""budget_violation"":0,""makespan"":287.957,""deadline_violation"":57.591,""machine_signature"":""bf2e4878d3b01df3"",""weighted_score"":1,""diversity_score"":1.362069}]"
heft_colocation,cluster_homo,1,maddid0000018|maddid0000037|maddid0000056|mbackgroundid0000015|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000031|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000007|mdifffitid0000010|mdifffitid0000025|mdifffitid0000026|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000003|mprojectid0000020|mprojectid0000022|mprojectid0000023|mprojectid0000040|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.000000,287.957000,0.000000,0.000000,230.365600,0.000000,57.591000,false,0.006000,6,0.852000,"{""bora001"":18,""bora002"":16,""bora003"":8,""bora004"":16}","{""bora001"":0.039756,""bora002"":0.038953,""bora003"":0.038191,""bora004"":0.054219}",[]
